absolute_error,district,reg,start_date
55.26140354,Jagatsingpur,Regressors_Excluded,2003-4
16.86444227,Jajpur,Regressors_Excluded,2003-4
12.17950402,Jharsuguda,Regressors_Excluded,2003-4
12.21331087,Kalahandi,Regressors_Excluded,2003-4
15.54173238,Koaraput,Regressors_Excluded,2003-4
27.38731273,Keonjhar,Regressors_Excluded,2003-4
3.419560804,Kandhamal,Regressors_Excluded,2003-4
2.579210864,Kendrapara,Regressors_Excluded,2003-4
32.86000522,Khurda,Regressors_Excluded,2003-4
39.44780988,Mayurbhanj,Regressors_Excluded,2003-4
6.964712831,Malkangiri,Regressors_Excluded,2003-4
2.844100932,Nuapara,Regressors_Excluded,2003-4
28.96546388,Nawarangpur,Regressors_Excluded,2003-4
37.79912453,Nayagarh,Regressors_Excluded,2003-4
35.07556356,Puri,Regressors_Excluded,2003-4
7.776536998,Rayagada,Regressors_Excluded,2003-4
0.237306093,Sambalpur,Regressors_Excluded,2003-4
1.607902963,Sonepur,Regressors_Excluded,2003-4
13.73223424,Sundargarh,Regressors_Excluded,2003-4
10.27193358,Angul,Regressors_Excluded,2003-5
36.29875309,Balasore,Regressors_Excluded,2003-5
28.54228813,Bhadrak,Regressors_Excluded,2003-5
18.44870633,Bolangir,Regressors_Excluded,2003-5
5.363912308,Baragarh,Regressors_Excluded,2003-5
45.29935153,Boudh,Regressors_Excluded,2003-5
22.79290255,Cuttack,Regressors_Excluded,2003-5
21.61154665,Dhenkanal,Regressors_Excluded,2003-5
27.11470504,Deogarh,Regressors_Excluded,2003-5
18.27160432,Ganjam,Regressors_Excluded,2003-5
25.0878881,Gajapati,Regressors_Excluded,2003-5
14.33426956,Jagatsingpur,Regressors_Excluded,2003-5
20.28024449,Jajpur,Regressors_Excluded,2003-5
47.0061423,Jharsuguda,Regressors_Excluded,2003-5
4.111673292,Kalahandi,Regressors_Excluded,2003-5
9.720874631,Koaraput,Regressors_Excluded,2003-5
7.477804569,Keonjhar,Regressors_Excluded,2003-5
19.15726788,Kandhamal,Regressors_Excluded,2003-5
5.58914653,Kendrapara,Regressors_Excluded,2003-5
10.29548927,Khurda,Regressors_Excluded,2003-5
32.0071568,Mayurbhanj,Regressors_Excluded,2003-5
13.64326436,Malkangiri,Regressors_Excluded,2003-5
14.59761878,Nuapara,Regressors_Excluded,2003-5
30.01038192,Nawarangpur,Regressors_Excluded,2003-5
19.69353409,Nayagarh,Regressors_Excluded,2003-5
7.522140142,Puri,Regressors_Excluded,2003-5
34.75471117,Rayagada,Regressors_Excluded,2003-5
3.970350027,Sambalpur,Regressors_Excluded,2003-5
23.77660308,Sonepur,Regressors_Excluded,2003-5
56.74164111,Sundargarh,Regressors_Excluded,2003-5
9.945383688,Angul,Regressors_Excluded,2003-6
69.50855068,Balasore,Regressors_Excluded,2003-6
41.33270143,Bhadrak,Regressors_Excluded,2003-6
2.397733218,Bolangir,Regressors_Excluded,2003-6
21.76344466,Baragarh,Regressors_Excluded,2003-6
41.21528981,Boudh,Regressors_Excluded,2003-6
25.20061533,Cuttack,Regressors_Excluded,2003-6
15.9315419,Dhenkanal,Regressors_Excluded,2003-6
1.812375958,Deogarh,Regressors_Excluded,2003-6
0.029892675,Ganjam,Regressors_Excluded,2003-6
15.38450162,Gajapati,Regressors_Excluded,2003-6
57.1834793,Jagatsingpur,Regressors_Excluded,2003-6
33.05657079,Jajpur,Regressors_Excluded,2003-6
56.01433943,Jharsuguda,Regressors_Excluded,2003-6
23.49916643,Kalahandi,Regressors_Excluded,2003-6
24.3860633,Koaraput,Regressors_Excluded,2003-6
17.0962012,Keonjhar,Regressors_Excluded,2003-6
20.27273544,Kandhamal,Regressors_Excluded,2003-6
3.726712979,Kendrapara,Regressors_Excluded,2003-6
8.584994222,Khurda,Regressors_Excluded,2003-6
5.022765626,Mayurbhanj,Regressors_Excluded,2003-6
6.927862342,Malkangiri,Regressors_Excluded,2003-6
14.20705794,Nuapara,Regressors_Excluded,2003-6
93.80724122,Nawarangpur,Regressors_Excluded,2003-6
23.96204575,Nayagarh,Regressors_Excluded,2003-6
226.9265987,Puri,Regressors_Excluded,2003-6
25.78817516,Rayagada,Regressors_Excluded,2003-6
12.77838552,Sambalpur,Regressors_Excluded,2003-6
22.74119717,Sonepur,Regressors_Excluded,2003-6
44.59346788,Sundargarh,Regressors_Excluded,2003-6
38.17046823,Angul,Regressors_Excluded,2003-7
35.93302885,Balasore,Regressors_Excluded,2003-7
42.02086437,Bhadrak,Regressors_Excluded,2003-7
40.54320051,Bolangir,Regressors_Excluded,2003-7
41.51929715,Baragarh,Regressors_Excluded,2003-7
68.71095618,Boudh,Regressors_Excluded,2003-7
55.08464805,Cuttack,Regressors_Excluded,2003-7
32.8352981,Dhenkanal,Regressors_Excluded,2003-7
37.43989601,Deogarh,Regressors_Excluded,2003-7
22.39476334,Ganjam,Regressors_Excluded,2003-7
1.084360299,Gajapati,Regressors_Excluded,2003-7
45.70101205,Jagatsingpur,Regressors_Excluded,2003-7
26.44466789,Jajpur,Regressors_Excluded,2003-7
12.04730418,Jharsuguda,Regressors_Excluded,2003-7
23.66478357,Kalahandi,Regressors_Excluded,2003-7
53.06820673,Koaraput,Regressors_Excluded,2003-7
5.779320182,Keonjhar,Regressors_Excluded,2003-7
16.6317138,Kandhamal,Regressors_Excluded,2003-7
7.05315911,Kendrapara,Regressors_Excluded,2003-7
22.20920093,Khurda,Regressors_Excluded,2003-7
35.59398654,Mayurbhanj,Regressors_Excluded,2003-7
20.91982461,Malkangiri,Regressors_Excluded,2003-7
11.54493486,Nuapara,Regressors_Excluded,2003-7
46.52128072,Nawarangpur,Regressors_Excluded,2003-7
21.73952001,Nayagarh,Regressors_Excluded,2003-7
1.104860863,Puri,Regressors_Excluded,2003-7
36.54968479,Rayagada,Regressors_Excluded,2003-7
35.32026818,Sambalpur,Regressors_Excluded,2003-7
62.46333221,Sonepur,Regressors_Excluded,2003-7
7.634216706,Sundargarh,Regressors_Excluded,2003-7
15.46293113,Angul,Regressors_Excluded,2003-8
3.245694165,Balasore,Regressors_Excluded,2003-8
7.029263908,Bhadrak,Regressors_Excluded,2003-8
6.754921427,Bolangir,Regressors_Excluded,2003-8
4.528579109,Baragarh,Regressors_Excluded,2003-8
6.261695947,Boudh,Regressors_Excluded,2003-8
5.84665288,Cuttack,Regressors_Excluded,2003-8
10.53815143,Dhenkanal,Regressors_Excluded,2003-8
27.06271224,Deogarh,Regressors_Excluded,2003-8
5.249108682,Ganjam,Regressors_Excluded,2003-8
20.23023831,Gajapati,Regressors_Excluded,2003-8
15.33376789,Jagatsingpur,Regressors_Excluded,2003-8
21.93466425,Jajpur,Regressors_Excluded,2003-8
11.2714806,Jharsuguda,Regressors_Excluded,2003-8
7.878617992,Kalahandi,Regressors_Excluded,2003-8
43.87563568,Koaraput,Regressors_Excluded,2003-8
10.22538866,Keonjhar,Regressors_Excluded,2003-8
11.68763669,Kandhamal,Regressors_Excluded,2003-8
35.66487663,Kendrapara,Regressors_Excluded,2003-8
18.62248617,Khurda,Regressors_Excluded,2003-8
33.49205447,Mayurbhanj,Regressors_Excluded,2003-8
61.03145725,Malkangiri,Regressors_Excluded,2003-8
15.59817005,Nuapara,Regressors_Excluded,2003-8
9.203951573,Nawarangpur,Regressors_Excluded,2003-8
23.60640648,Nayagarh,Regressors_Excluded,2003-8
56.63034219,Puri,Regressors_Excluded,2003-8
42.72779774,Rayagada,Regressors_Excluded,2003-8
3.117643106,Sambalpur,Regressors_Excluded,2003-8
52.51712551,Sonepur,Regressors_Excluded,2003-8
10.90779152,Sundargarh,Regressors_Excluded,2003-8
10.39344548,Angul,Regressors_Excluded,2003-9
37.40977814,Balasore,Regressors_Excluded,2003-9
7.767974182,Bhadrak,Regressors_Excluded,2003-9
12.36115063,Bolangir,Regressors_Excluded,2003-9
14.58202543,Baragarh,Regressors_Excluded,2003-9
25.55289042,Boudh,Regressors_Excluded,2003-9
16.28086715,Cuttack,Regressors_Excluded,2003-9
10.19230878,Dhenkanal,Regressors_Excluded,2003-9
12.72324212,Deogarh,Regressors_Excluded,2003-9
6.900546261,Ganjam,Regressors_Excluded,2003-9
44.48859547,Gajapati,Regressors_Excluded,2003-9
61.023436,Jagatsingpur,Regressors_Excluded,2003-9
26.96051168,Jajpur,Regressors_Excluded,2003-9
27.53656339,Jharsuguda,Regressors_Excluded,2003-9
0.307176619,Kalahandi,Regressors_Excluded,2003-9
14.3219867,Koaraput,Regressors_Excluded,2003-9
8.983795389,Keonjhar,Regressors_Excluded,2003-9
78.51893692,Kandhamal,Regressors_Excluded,2003-9
23.09118499,Kendrapara,Regressors_Excluded,2003-9
24.76321169,Khurda,Regressors_Excluded,2003-9
21.88707072,Mayurbhanj,Regressors_Excluded,2003-9
40.72243366,Malkangiri,Regressors_Excluded,2003-9
41.56283119,Nuapara,Regressors_Excluded,2003-9
5.343075191,Nawarangpur,Regressors_Excluded,2003-9
29.21866388,Nayagarh,Regressors_Excluded,2003-9
6.82429154,Puri,Regressors_Excluded,2003-9
112.4367096,Rayagada,Regressors_Excluded,2003-9
27.58456515,Sambalpur,Regressors_Excluded,2003-9
49.23159853,Sonepur,Regressors_Excluded,2003-9
28.10901327,Sundargarh,Regressors_Excluded,2003-9
6.642014466,Angul,Regressors_Excluded,2003-10
46.78206684,Balasore,Regressors_Excluded,2003-10
16.42496656,Bhadrak,Regressors_Excluded,2003-10
16.94348549,Bolangir,Regressors_Excluded,2003-10
32.69289648,Baragarh,Regressors_Excluded,2003-10
39.86855943,Boudh,Regressors_Excluded,2003-10
9.097110544,Cuttack,Regressors_Excluded,2003-10
3.457929278,Dhenkanal,Regressors_Excluded,2003-10
25.55099652,Deogarh,Regressors_Excluded,2003-10
20.78606794,Ganjam,Regressors_Excluded,2003-10
50.68825384,Gajapati,Regressors_Excluded,2003-10
18.0116282,Jagatsingpur,Regressors_Excluded,2003-10
2.159807193,Jajpur,Regressors_Excluded,2003-10
21.90568486,Jharsuguda,Regressors_Excluded,2003-10
11.738956,Kalahandi,Regressors_Excluded,2003-10
22.91642553,Koaraput,Regressors_Excluded,2003-10
4.2136329,Keonjhar,Regressors_Excluded,2003-10
23.43636743,Kandhamal,Regressors_Excluded,2003-10
40.92150897,Kendrapara,Regressors_Excluded,2003-10
20.19782273,Khurda,Regressors_Excluded,2003-10
6.140217184,Mayurbhanj,Regressors_Excluded,2003-10
17.77551073,Malkangiri,Regressors_Excluded,2003-10
24.56954814,Nuapara,Regressors_Excluded,2003-10
34.98421573,Nawarangpur,Regressors_Excluded,2003-10
12.99005871,Nayagarh,Regressors_Excluded,2003-10
49.10264919,Puri,Regressors_Excluded,2003-10
20.32721207,Rayagada,Regressors_Excluded,2003-10
6.056769735,Sambalpur,Regressors_Excluded,2003-10
0.480787142,Sonepur,Regressors_Excluded,2003-10
32.99215775,Sundargarh,Regressors_Excluded,2003-10
17.75170779,Angul,Regressors_Excluded,2003-11
10.23603493,Balasore,Regressors_Excluded,2003-11
9.904663932,Bhadrak,Regressors_Excluded,2003-11
0.101420739,Bolangir,Regressors_Excluded,2003-11
33.61831839,Baragarh,Regressors_Excluded,2003-11
48.3632524,Boudh,Regressors_Excluded,2003-11
15.6904138,Cuttack,Regressors_Excluded,2003-11
14.46813456,Dhenkanal,Regressors_Excluded,2003-11
53.74725736,Deogarh,Regressors_Excluded,2003-11
7.919409752,Ganjam,Regressors_Excluded,2003-11
0.389549422,Gajapati,Regressors_Excluded,2003-11
8.142697551,Jagatsingpur,Regressors_Excluded,2003-11
12.67485361,Jajpur,Regressors_Excluded,2003-11
60.36193263,Jharsuguda,Regressors_Excluded,2003-11
20.32132709,Kalahandi,Regressors_Excluded,2003-11
11.93546159,Koaraput,Regressors_Excluded,2003-11
1.275688439,Keonjhar,Regressors_Excluded,2003-11
4.288023126,Kandhamal,Regressors_Excluded,2003-11
16.08064162,Kendrapara,Regressors_Excluded,2003-11
7.638325993,Khurda,Regressors_Excluded,2003-11
3.609598709,Mayurbhanj,Regressors_Excluded,2003-11
4.922769909,Malkangiri,Regressors_Excluded,2003-11
44.55005147,Nuapara,Regressors_Excluded,2003-11
8.794391133,Nawarangpur,Regressors_Excluded,2003-11
29.27446938,Nayagarh,Regressors_Excluded,2003-11
19.40151392,Puri,Regressors_Excluded,2003-11
34.96512369,Rayagada,Regressors_Excluded,2003-11
19.98517277,Sambalpur,Regressors_Excluded,2003-11
3.824628112,Sonepur,Regressors_Excluded,2003-11
33.33980929,Sundargarh,Regressors_Excluded,2003-11
2.892354929,Angul,Regressors_Excluded,2003-12
64.82732583,Balasore,Regressors_Excluded,2003-12
45.25295291,Bhadrak,Regressors_Excluded,2003-12
40.26465244,Bolangir,Regressors_Excluded,2003-12
14.62871128,Baragarh,Regressors_Excluded,2003-12
40.36206989,Boudh,Regressors_Excluded,2003-12
9.732853452,Cuttack,Regressors_Excluded,2003-12
18.59595777,Dhenkanal,Regressors_Excluded,2003-12
22.92717487,Deogarh,Regressors_Excluded,2003-12
24.81459399,Ganjam,Regressors_Excluded,2003-12
0.758883585,Gajapati,Regressors_Excluded,2003-12
7.276334607,Jagatsingpur,Regressors_Excluded,2003-12
19.15386844,Jajpur,Regressors_Excluded,2003-12
3.816077308,Jharsuguda,Regressors_Excluded,2003-12
2.438552733,Kalahandi,Regressors_Excluded,2003-12
15.30852102,Koaraput,Regressors_Excluded,2003-12
2.34241722,Keonjhar,Regressors_Excluded,2003-12
7.815365156,Kandhamal,Regressors_Excluded,2003-12
8.373106146,Kendrapara,Regressors_Excluded,2003-12
41.10166387,Khurda,Regressors_Excluded,2003-12
12.2995601,Mayurbhanj,Regressors_Excluded,2003-12
18.2938053,Malkangiri,Regressors_Excluded,2003-12
11.54105066,Nuapara,Regressors_Excluded,2003-12
31.44843919,Nawarangpur,Regressors_Excluded,2003-12
35.73856162,Nayagarh,Regressors_Excluded,2003-12
32.52982075,Puri,Regressors_Excluded,2003-12
15.8795781,Rayagada,Regressors_Excluded,2003-12
20.30154529,Sambalpur,Regressors_Excluded,2003-12
27.21118171,Sonepur,Regressors_Excluded,2003-12
32.81577624,Sundargarh,Regressors_Excluded,2003-12
1.43721359,Angul,Regressors_Excluded,2004-1
21.81258779,Balasore,Regressors_Excluded,2004-1
21.36577227,Bhadrak,Regressors_Excluded,2004-1
6.001692911,Bolangir,Regressors_Excluded,2004-1
4.293902554,Baragarh,Regressors_Excluded,2004-1
11.42328856,Boudh,Regressors_Excluded,2004-1
14.65685976,Cuttack,Regressors_Excluded,2004-1
11.2593105,Dhenkanal,Regressors_Excluded,2004-1
22.04345976,Deogarh,Regressors_Excluded,2004-1
13.96603083,Ganjam,Regressors_Excluded,2004-1
0.725924924,Gajapati,Regressors_Excluded,2004-1
6.189369517,Jagatsingpur,Regressors_Excluded,2004-1
35.0466684,Jajpur,Regressors_Excluded,2004-1
47.20987065,Jharsuguda,Regressors_Excluded,2004-1
2.263806904,Kalahandi,Regressors_Excluded,2004-1
15.83338246,Koaraput,Regressors_Excluded,2004-1
0.289287478,Keonjhar,Regressors_Excluded,2004-1
13.33964953,Kandhamal,Regressors_Excluded,2004-1
58.34708518,Kendrapara,Regressors_Excluded,2004-1
31.34758647,Khurda,Regressors_Excluded,2004-1
69.18178541,Mayurbhanj,Regressors_Excluded,2004-1
21.5320348,Malkangiri,Regressors_Excluded,2004-1
6.542657704,Nuapara,Regressors_Excluded,2004-1
55.51725163,Nawarangpur,Regressors_Excluded,2004-1
16.66655107,Nayagarh,Regressors_Excluded,2004-1
29.07174915,Puri,Regressors_Excluded,2004-1
10.75679801,Rayagada,Regressors_Excluded,2004-1
28.46752324,Sambalpur,Regressors_Excluded,2004-1
13.69735884,Sonepur,Regressors_Excluded,2004-1
22.38865916,Sundargarh,Regressors_Excluded,2004-1
5.376962067,Angul,Regressors_Excluded,2004-2
51.62026489,Balasore,Regressors_Excluded,2004-2
25.62801801,Bhadrak,Regressors_Excluded,2004-2
8.866636737,Bolangir,Regressors_Excluded,2004-2
31.27375606,Baragarh,Regressors_Excluded,2004-2
156.1792746,Boudh,Regressors_Excluded,2004-2
29.96699723,Cuttack,Regressors_Excluded,2004-2
1.546587378,Dhenkanal,Regressors_Excluded,2004-2
15.65710551,Deogarh,Regressors_Excluded,2004-2
6.507720898,Ganjam,Regressors_Excluded,2004-2
14.49799238,Gajapati,Regressors_Excluded,2004-2
89.37517992,Jagatsingpur,Regressors_Excluded,2004-2
5.716227908,Jajpur,Regressors_Excluded,2004-2
22.13395461,Jharsuguda,Regressors_Excluded,2004-2
5.452684838,Kalahandi,Regressors_Excluded,2004-2
39.47929144,Koaraput,Regressors_Excluded,2004-2
11.27975037,Keonjhar,Regressors_Excluded,2004-2
6.61324688,Kandhamal,Regressors_Excluded,2004-2
20.51545163,Kendrapara,Regressors_Excluded,2004-2
15.01373138,Khurda,Regressors_Excluded,2004-2
5.461214117,Mayurbhanj,Regressors_Excluded,2004-2
49.30625176,Malkangiri,Regressors_Excluded,2004-2
33.26492049,Nuapara,Regressors_Excluded,2004-2
20.66423059,Nawarangpur,Regressors_Excluded,2004-2
17.93005982,Nayagarh,Regressors_Excluded,2004-2
132.3161088,Puri,Regressors_Excluded,2004-2
15.86861226,Rayagada,Regressors_Excluded,2004-2
0.348158339,Sambalpur,Regressors_Excluded,2004-2
2.563532324,Sonepur,Regressors_Excluded,2004-2
6.901153681,Sundargarh,Regressors_Excluded,2004-2
7.515672344,Angul,Regressors_Excluded,2004-3
23.97501301,Balasore,Regressors_Excluded,2004-3
6.916843497,Bhadrak,Regressors_Excluded,2004-3
3.35053074,Bolangir,Regressors_Excluded,2004-3
20.67156443,Baragarh,Regressors_Excluded,2004-3
32.21467291,Boudh,Regressors_Excluded,2004-3
14.98401504,Cuttack,Regressors_Excluded,2004-3
5.565691292,Dhenkanal,Regressors_Excluded,2004-3
20.89939112,Deogarh,Regressors_Excluded,2004-3
29.55169546,Ganjam,Regressors_Excluded,2004-3
13.4277223,Gajapati,Regressors_Excluded,2004-3
31.45815167,Jagatsingpur,Regressors_Excluded,2004-3
5.7767508,Jajpur,Regressors_Excluded,2004-3
4.789260796,Jharsuguda,Regressors_Excluded,2004-3
1.084208525,Kalahandi,Regressors_Excluded,2004-3
6.226255186,Koaraput,Regressors_Excluded,2004-3
25.11925399,Keonjhar,Regressors_Excluded,2004-3
12.84019851,Kandhamal,Regressors_Excluded,2004-3
5.180857991,Kendrapara,Regressors_Excluded,2004-3
14.47558924,Khurda,Regressors_Excluded,2004-3
15.96369197,Mayurbhanj,Regressors_Excluded,2004-3
15.89701576,Malkangiri,Regressors_Excluded,2004-3
34.38032039,Nuapara,Regressors_Excluded,2004-3
33.92436799,Nawarangpur,Regressors_Excluded,2004-3
25.90024738,Nayagarh,Regressors_Excluded,2004-3
48.65811393,Puri,Regressors_Excluded,2004-3
16.97837259,Rayagada,Regressors_Excluded,2004-3
6.885208785,Sambalpur,Regressors_Excluded,2004-3
10.76055632,Sonepur,Regressors_Excluded,2004-3
25.39062683,Sundargarh,Regressors_Excluded,2004-3
3.114187981,Angul,Regressors_Excluded,2004-4
63.8510984,Balasore,Regressors_Excluded,2004-4
12.66097283,Bhadrak,Regressors_Excluded,2004-4
21.21306737,Bolangir,Regressors_Excluded,2004-4
7.842945012,Baragarh,Regressors_Excluded,2004-4
229.5975271,Boudh,Regressors_Excluded,2004-4
82.35641144,Cuttack,Regressors_Excluded,2004-4
15.63774856,Dhenkanal,Regressors_Excluded,2004-4
9.463813675,Deogarh,Regressors_Excluded,2004-4
16.40752683,Ganjam,Regressors_Excluded,2004-4
6.866873687,Gajapati,Regressors_Excluded,2004-4
128.1955882,Jagatsingpur,Regressors_Excluded,2004-4
20.51579252,Jajpur,Regressors_Excluded,2004-4
53.00660151,Jharsuguda,Regressors_Excluded,2004-4
17.34494911,Kalahandi,Regressors_Excluded,2004-4
38.08894924,Koaraput,Regressors_Excluded,2004-4
