Angul,Balasore,Bhadrak,Bolangir,Baragarh,Boudh,Cuttack,Dhenkanal,Deogarh,Ganjam,Gajapati,Jagatsingpur,Jajpur,Jharsuguda,Kalahandi,Koaraput,Keonjhar,Kandhamal,Kendrapara,Khurda,Mayurbhanj,Malkangiri,Nuapara,Nawarangpur,Nayagarh,Puri,Rayagada,Sambalpur,Sonepur,Sundargarh
95.24296994,17.84565757,4.849537744,35.37489001,57.6546828,59.80344945,91.92462537,48.97139383,8.385699068,25.70966487,1.52354561,211.3841714,67.40552618,59.87031949,0.188742994,19.94877202,25.39088206,38.75401976,36.90133053,31.81873333,77.32410239,9.002630935,47.59556444,87.51236464,63.03871846,287.9071094,33.34506282,14.98700909,56.37096191,42.70704902
55.34005663,2.191113127,6.240855435,50.52736367,69.01803342,55.96032893,7.21863891,22.76215653,3.296474955,14.68682124,14.19517747,76.32261184,3.347695979,21.93782605,15.51981626,8.840200337,9.703035628,7.175637894,11.69079876,80.91351965,11.72900496,6.417855049,5.447850145,6.911316728,22.77493866,75.47079053,23.66784059,83.67639892,48.44464701,29.05507538
14.82447167,4.962249433,401.2034033,4.027862826,29.79425784,28.03742729,20.23450493,2.259628351,46.377162,24.60926006,18.00593481,82.34978243,26.46758281,29.72775528,25.81309636,16.33800649,37.66236691,16.00343591,57.10797788,93.79622408,0.341157264,6.722976688,39.68393124,13.44835494,65.51162656,73.01912185,1.712302903,27.96922534,33.12146278,8.678946484
0.947736743,29.81246665,64.95983553,6.743757973,0.050340271,50.76645415,16.67057043,10.64742363,43.94570263,23.59231635,40.32040827,69.14094952,4.499942007,28.13565434,10.42288053,10.41442686,27.57028815,6.479087405,17.27208975,5.685016768,25.09762941,17.88566746,24.35932125,36.91106255,44.73574993,26.80269417,16.6913658,13.04904098,21.81597156,15.71905219
0.63773007,46.03335532,43.28782008,22.75294299,18.2121524,35.13288863,2.727997191,25.51698448,34.15961767,14.26896748,37.55937925,17.65809925,13.24548397,28.45865019,4.322584672,11.00772255,6.285726164,11.59025339,30.52810715,14.76860421,17.75337571,14.91836297,13.42336635,47.40249064,25.77719584,30.03575079,34.52653059,24.95904034,13.85328481,13.07507661
30.74831015,71.90699022,89.28836068,4.833391511,109.1179086,17.68895067,17.83646253,57.15962532,26.18092137,1.665801353,8.325398378,157.3829069,51.41712441,113.2853257,3.142126242,20.59926312,14.3896168,14.12314655,48.60473725,19.55692136,24.70562809,20.5418165,6.026890008,107.6560344,11.7729521,243.5478746,25.27394196,48.63903952,189.1693857,16.88118131
17.79208465,15.17953126,31.97933741,25.41919436,42.96580241,66.86754052,3.171124016,20.76901202,54.82113595,20.11895145,7.734886092,50.98396295,6.861693922,25.3559235,18.9004199,46.44097517,8.931377808,21.69561591,20.35987761,40.30404959,33.00490106,5.040070746,7.637628534,28.79638085,16.31285957,62.5772926,36.64564228,27.53965291,63.82959047,11.02098713
1.000402117,2.33487139,4.582583497,5.107032577,13.20599147,4.277417413,2.284637792,5.564908371,13.30526829,11.61920336,14.24151647,14.59397254,18.84072672,21.93388587,11.87385536,15.21935913,12.79479222,11.52116754,20.19229065,48.94982892,46.89467479,38.87331109,20.38891401,19.67389648,1.093582182,44.45277341,36.83168642,0.815425335,61.72747667,7.339314829
22.64761513,32.97818375,9.282991964,55.0534636,16.26695549,32.47010059,1.467689476,3.989948622,11.68341689,15.24512013,4.827094167,59.19601751,18.59279718,6.123915297,3.372413086,24.81552769,10.38187665,54.48047674,26.72763598,6.846689405,22.34418683,50.68229644,28.82156743,0.340454776,61.21240285,27.4623132,130.8912427,30.276685,44.43394154,9.204768301
12.12424558,37.33187757,17.82452101,15.10690913,32.63893727,38.49112534,0.238775588,22.6593297,37.0897112,12.51501304,26.21610574,7.09139789,5.611553287,37.19711154,19.99519251,25.6547308,3.914767578,52.30952085,46.87412286,28.46515517,54.44207083,1.605252172,29.51584136,45.53005441,2.172586426,1.417669898,44.38156935,17.08079726,20.93607285,37.00012005
