Angul,Balasore,Bhadrak,Bolangir,Baragarh,Boudh,Cuttack,Dhenkanal,Deogarh,Ganjam,Gajapati,Jagatsingpur,Jajpur,Jharsuguda,Kalahandi,Koaraput,Keonjhar,Kandhamal,Kendrapara,Khurda,Mayurbhanj,Malkangiri,Nuapara,Nawarangpur,Nayagarh,Puri,Rayagada,Sambalpur,Sonepur,Sundargarh
110.9721883,48.31193937,81.73410003,2.375609201,12.12930275,81.55777959,84.95757147,38.61536223,10.3317935,3.700602811,15.15667099,191.7535977,71.34079237,56.27053859,9.031488165,10.11171845,28.93958144,36.44399613,51.46133348,33.97420662,51.59482759,17.31714483,34.40093018,83.36006433,62.65386443,299.8243568,20.03035405,20.76535175,47.69634795,49.08358927
20.6121406,5.448314749,59.74809946,18.0758646,60.39824271,5.224284757,20.33944998,24.58391586,21.39486089,1.247618664,34.00879112,51.38881162,8.577800652,48.45758103,3.292328406,6.156313169,30.40851553,19.14457719,16.00276089,101.4719627,1.349881645,6.061207071,8.675574601,19.50457292,22.17933114,168.5271621,17.16323805,67.14227283,49.5578241,3.776384565
27.52168992,19.80338,328.739117,5.882070863,40.48721407,32.11646287,50.83836444,19.00048107,15.01081505,15.17487168,6.651988205,87.91751445,9.254210104,59.61194023,14.49966271,22.30693449,19.17446732,6.470318234,44.88387575,102.9348681,9.567700426,11.85928782,2.96446078,28.28657342,58.72599275,50.57122337,7.315629238,49.3793621,32.97553878,74.85455731
26.57854033,40.95612361,3.39517015,19.30635137,2.687148588,47.22220276,19.69572165,0.953346047,50.41464945,7.535420227,23.36473994,55.26140354,16.86444227,12.17950402,12.21331087,15.54173238,27.38731273,3.419560804,2.579210864,32.86000522,39.44780988,6.964712831,2.844100932,28.96546388,37.79912453,35.07556356,7.776536998,0.237306093,1.607902963,13.73223424
10.27193358,36.29875309,28.54228813,18.44870633,5.363912308,45.29935153,22.79290255,21.61154665,27.11470504,18.27160432,25.0878881,14.33426956,20.28024449,47.0061423,4.111673292,9.720874631,7.477804569,19.15726788,5.58914653,10.29548927,32.0071568,13.64326436,14.59761878,30.01038192,19.69353409,7.522140142,34.75471117,3.970350027,23.77660308,56.74164111
9.945383688,69.50855068,41.33270143,2.397733218,21.76344466,41.21528981,25.20061533,15.9315419,1.812375958,0.029892675,15.38450162,57.1834793,33.05657079,56.01433943,23.49916643,24.3860633,17.0962012,20.27273544,3.726712979,8.584994222,5.022765626,6.927862342,14.20705794,93.80724122,23.96204575,226.9265987,25.78817516,12.77838552,22.74119717,44.59346788
38.17046823,35.93302885,42.02086437,40.54320051,41.51929715,68.71095618,55.08464805,32.8352981,37.43989601,22.39476334,1.084360299,45.70101205,26.44466789,12.04730418,23.66478357,53.06820673,5.779320182,16.6317138,7.05315911,22.20920093,35.59398654,20.91982461,11.54493486,46.52128072,21.73952001,1.104860863,36.54968479,35.32026818,62.46333221,7.634216706
15.46293113,3.245694165,7.029263908,6.754921427,4.528579109,6.261695947,5.84665288,10.53815143,27.06271224,5.249108682,20.23023831,15.33376789,21.93466425,11.2714806,7.878617992,43.87563568,10.22538866,11.68763669,35.66487663,18.62248617,33.49205447,61.03145725,15.59817005,9.203951573,23.60640648,56.63034219,42.72779774,3.117643106,52.51712551,10.90779152
10.39344548,37.40977814,7.767974182,12.36115063,14.58202543,25.55289042,16.28086715,10.19230878,12.72324212,6.900546261,44.48859547,61.023436,26.96051168,27.53656339,0.307176619,14.3219867,8.983795389,78.51893692,23.09118499,24.76321169,21.88707072,40.72243366,41.56283119,5.343075191,29.21866388,6.82429154,112.4367096,27.58456515,49.23159853,28.10901327
6.642014466,46.78206684,16.42496656,16.94348549,32.69289648,39.86855943,9.097110544,3.457929278,25.55099652,20.78606794,50.68825384,18.0116282,2.159807193,21.90568486,11.738956,22.91642553,4.2136329,23.43636743,40.92150897,20.19782273,6.140217184,17.77551073,24.56954814,34.98421573,12.99005871,49.10264919,20.32721207,6.056769735,0.480787142,32.99215775
17.75170779,10.23603493,9.904663932,0.101420739,33.61831839,48.3632524,15.6904138,14.46813456,53.74725736,7.919409752,0.389549422,8.142697551,12.67485361,60.36193263,20.32132709,11.93546159,1.275688439,4.288023126,16.08064162,7.638325993,3.609598709,4.922769909,44.55005147,8.794391133,29.27446938,19.40151392,34.96512369,19.98517277,3.824628112,33.33980929
2.892354929,64.82732583,45.25295291,40.26465244,14.62871128,40.36206989,9.732853452,18.59595777,22.92717487,24.81459399,0.758883585,7.276334607,19.15386844,3.816077308,2.438552733,15.30852102,2.34241722,7.815365156,8.373106146,41.10166387,12.2995601,18.2938053,11.54105066,31.44843919,35.73856162,32.52982075,15.8795781,20.30154529,27.21118171,32.81577624
1.43721359,21.81258779,21.36577227,6.001692911,4.293902554,11.42328856,14.65685976,11.2593105,22.04345976,13.96603083,0.725924924,6.189369517,35.0466684,47.20987065,2.263806904,15.83338246,0.289287478,13.33964953,58.34708518,31.34758647,69.18178541,21.5320348,6.542657704,55.51725163,16.66655107,29.07174915,10.75679801,28.46752324,13.69735884,22.38865916
5.376962067,51.62026489,25.62801801,8.866636737,31.27375606,156.1792746,29.96699723,1.546587378,15.65710551,6.507720898,14.49799238,89.37517992,5.716227908,22.13395461,5.452684838,39.47929144,11.27975037,6.61324688,20.51545163,15.01373138,5.461214117,49.30625176,33.26492049,20.66423059,17.93005982,132.3161088,15.86861226,0.348158339,2.563532324,6.901153681
7.515672344,23.97501301,6.916843497,3.35053074,20.67156443,32.21467291,14.98401504,5.565691292,20.89939112,29.55169546,13.4277223,31.45815167,5.7767508,4.789260796,1.084208525,6.226255186,25.11925399,12.84019851,5.180857991,14.47558924,15.96369197,15.89701576,34.38032039,33.92436799,25.90024738,48.65811393,16.97837259,6.885208785,10.76055632,25.39062683
3.114187981,63.8510984,12.66097283,21.21306737,7.842945012,229.5975271,82.35641144,15.63774856,9.463813675,16.40752683,6.866873687,128.1955882,20.51579252,53.00660151,17.34494911,38.08894924,13.69836067,10.00398761,90.72877656,35.41947787,1.34042771,48.80499513,5.275254225,22.00256889,0.655905998,19.76471455,5.445823305,30.14768656,35.14655679,15.58345378
41.47017242,14.42080749,14.89113139,0.286134589,45.54564939,97.06577528,18.95515709,0.523262095,16.70803028,25.27539154,5.50943784,52.97389187,22.38685345,8.042630492,15.7543836,23.1508984,11.90872759,16.62646816,468.7408032,18.28467219,1.529664938,106.8957489,43.08105863,34.20962576,9.897052891,31.79612486,42.06969122,4.922646504,5.808890277,12.30324776
15.99904511,40.91590844,0.996426276,14.49165125,0.775208248,15.90421863,7.120116454,0.169731799,67.54636745,19.55486786,19.843071,208.1094849,52.87071105,2.903397194,5.520485101,30.23600933,6.423759926,11.06388859,77.72603473,16.34419057,37.74137931,20.20542333,9.028501175,2.073896644,9.643693487,34.45593959,10.85310987,25.6175983,22.55966502,4.302304704
26.5364116,17.49643031,10.13016578,8.310898224,22.3904191,19.05691481,54.7735465,33.26004103,40.02312438,40.83197248,23.38452159,33.95296225,31.77633122,44.68467134,29.57405844,41.42962772,1.031608713,21.44346598,103.3602456,18.41136117,34.40175885,23.13770352,17.86988742,13.83532527,7.40947,12.60865459,3.839348641,15.40168747,145.1453614,18.11532827
20.43182136,13.98514882,2.776734947,16.09572836,25.17811486,30.73107244,3.948738006,25.00729155,7.46582899,0.238597455,7.383499523,10.81868972,107.3093735,29.57707927,14.42291879,45.76707606,29.41458419,10.01029388,73.45228237,21.35100441,8.65253078,34.41176071,29.29094938,27.03929193,6.636352815,184.0533255,22.28975786,10.95348717,9.615523084,30.38052062
12.79137167,24.56270887,10.8132887,37.30167741,21.65003791,6.507248851,16.47682278,2.977522927,5.395632465,9.851364805,8.347629436,32.30296199,15.65105507,8.733861084,16.84340218,26.82555748,11.47855238,25.93705963,105.8451853,26.98145521,43.41585329,8.219217294,20.76524292,23.1601382,29.27486418,39.66373213,24.31895654,2.954872643,21.21453018,38.50409372
13.52872638,17.39080194,9.252647243,17.8430285,26.82427895,38.16810017,5.066541425,24.01874641,33.38869791,5.613366407,11.37200351,11.09413179,1.860391992,6.462059727,4.893588918,58.09512691,1.012890026,10.05838769,56.99758027,24.65853018,27.9258426,33.87894078,0.232460546,5.524381865,5.238789739,7.298405007,11.79675132,13.73407884,7.195287008,14.9330559
18.45313466,41.20028756,19.55538597,73.07344781,26.16652398,33.85640801,26.31255792,20.29016799,34.12081749,21.13575226,6.940330459,24.41902546,97.81609195,9.31183233,5.522794224,23.64675043,3.510019436,7.457350102,191.6634759,11.67521202,10.18371567,26.37360336,64.7021073,50.2630462,19.93927342,30.40169994,36.32880067,19.67859266,20.46839272,17.72626272
1.775872583,23.86055948,21.30984375,73.81108754,200.251459,20.3729757,23.1044011,21.2372927,8.126602352,22.73853609,16.73315421,17.89547767,51.09764937,18.45273687,5.523753777,20.97972887,23.03226149,2.726077836,147.1334881,13.47334306,38.20665688,23.93856184,2.110849052,25.050237,11.10962885,15.13101536,7.931312397,15.72379119,4.977271955,51.32354634
5.74160373,75.54765346,59.49553976,81.30888012,99.43632656,105.7760248,5.248097016,26.26031261,142.572437,42.63361129,68.38468208,124.2735304,66.18965517,45.3617522,17.27170126,4.616964428,36.12119918,12.38330891,219.555882,40.913913,76.68711656,67.56127761,46.13458744,14.59429635,112.5648687,88.35159708,1.145797117,54.83487968,29.73591,47.0547094
0.584975013,63.72155025,50.74978151,15.56995434,35.97892634,36.80121481,58.14579436,5.084327229,69.2060586,11.55188713,14.22656841,77.93045772,21.59961686,47.59864932,13.91786367,39.73370586,1.397709146,2.59260222,293.5722661,4.070651762,2.249353792,27.92042814,4.813628625,41.75274432,69.59653629,86.94196088,33.94758817,32.16792825,24.61663839,46.35182223
11.35642042,61.12524235,45.42116523,1.099960382,6.764409998,85.96286819,4.835867086,4.67605297,64.38435611,20.54900439,15.30980999,16.27407801,6.794000769,9.481430664,2.93512752,8.429207758,10.06165683,2.262056597,280.2343536,40.14769237,64.03766922,22.94440936,6.594327699,6.910221056,45.96810877,202.0000858,38.48458981,51.61308965,4.626376784,11.60333583
