dist,phc,yr,mnth,totfever,bsc,bse,totsp,sppf,sppv,totrt,death,totact,totinj,outbreak,totrefer,totrdt,rdtpos_pf,rdtpos_pv
Angul,Godibandha,2009,January,,866,866,83,38,,83,,,,,,,,
Angul,Madhapur,2009,January,,2052,2052,136,120,,136,,,,,,,,
Angul,Banarpal,2009,January,,1635,1635,97,90,,97,,,,,,,,
Angul,R.K.Nagar,2009,January,,1134,1134,302,286,,302,,,,,,,,
Angul,Khamar,2009,January,,1517,1517,224,205,,224,,,,,,,,
Angul,Bantala,2009,January,,1508,1508,79,74,,79,,,,,,,,
Angul,Kaniha,2009,January,,2178,2178,145,131,,145,,,,,,,,
Angul,Koshala,2009,January,,2214,2214,171,160,,171,,,,,,,,
Balasore,Simulia,2009,January,,536,536,2,2,,2,,,,,,,,
Balasore,Gopalpur,2009,January,,649,649,5,4,,5,,,,,,,,
Balasore,Remuna,2009,January,,641,641,1,1,,1,,,,,,,,
Balasore,Pratappur,2009,January,,595,595,2,2,,2,,,,,,,,
Balasore,Nilagiri S.D.H,2009,January,,53,53,4,4,,4,,,,,,,,
Balasore,Hatigarh,2009,January,,746,746,2,,,2,,,,,,,,
Balasore,Berhampur(Balasore),2009,January,,1245,1245,49,47,,49,,,,,,,,
Balasore,Jaleswapur,2009,January,,724,724,7,2,,7,,,,,,,,
Balasore,Basta,2009,January,,421,421,2,1,,2,,,,,,,,
Balasore,Balasore Town,2009,January,,173,173,1,1,,1,,,,,,,,
Balasore,Rupsa,2009,January,,726,726,1,,,1,,,,,,,,
Balasore,Anantapur,2009,January,,329,329,26,10,,26,,,,,,,,
Balasore,Iswarpur,2009,January,,374,374,4,3,,4,,,,,,,,
Balasore,Khaira,2009,January,,487,487,6,4,,6,,,,,,,,
Baragarh,Bhattli,2009,January,,628,628,13,13,,13,,,,,,,,
Baragarh,Pahadsirigida,2009,January,,666,666,14,10,,14,,,,,,,,
Baragarh,Bijepur,2009,January,,797,797,,,,,,,,,,,,
Baragarh,Jamala,2009,January,,668,668,15,,,15,,,,,,,,
Baragarh, Dova,2009,January,,203,203,5,4,,5,,,,,,,,
Baragarh,Padmapur Hospital,2009,January,,256,256,14,13,,14,,,,,,,,
Baragarh,Katapali,2009,January,,715,715,7,4,,7,,,,,,,,
Baragarh,Agalpur,2009,January,,825,825,6,,,6,,,,,,,,
Baragarh,Bhukta,2009,January,,245,245,3,2,,3,,,,,,,,
Baragarh,Talpalli,2009,January,,462,462,19,11,,19,,,,,,,,
