dist,phc,yr,mnth,totfever,bsc,bse,totsp,sppf,sppv,totrt,death,totact,totinj,outbreak,totrefer,totrdt,rdtpos_pf,rdtpos_pv
Bolangir,Jamugaon,2006,February,,741,741,63,28,,63,,,,,,,,
Angul,Kaniha,2006,December,,1402,1402,134,124,,134,,,,,,,,
Baragarh,Padmapur Hospital,2006,December,,319,319,66,47,,66,,,,,,,,
Bhadrak,Agarpada,2006,February,,733,733,2,,,2,,,,,,,,
Balasore,Pratappur,2006,May,,413,408,,,,,,,,,,,,
Baragarh,Katapali,2006,,,,,,,,,,,,,,,,
Boudh,Baunsuni,2006,September,,1871,1871,139,27,,139,,,,,,,,
Bolangir,Loisinga,2006,December,,1280,1280,85,61,,85,,,,,,,,
Angul,Koshala,2006,September,,1811,1811,139,132,,139,1,,,,,,,
Angul,Bantala,2006,May,,1436,1436,223,182,,223,,,,,,,,
Balasore,Simulia,2006,November,,1091,1091,9,5,,9,,,,,,,,
Bhadrak,Basudevpur,2006,March,,1247,1247,2,1,,2,,,,,,,,
Angul,Banarpal,2006,July,,1785,1785,328,325,,328,,,,,,,,
Angul,Banarpal,2006,September,,2310,2310,91,90,,91,,,,,,,,
Balasore,Simulia,2006,February,,396,396,1,1,,1,,,,,,,,
Cuttack,Bentaka,2006,February,,558,558,2,1,,2,,,,,,,,
Bolangir,Chudapali,2006,March,,658,658,51,11,,51,,,,,,,,
Dhenkanal,Birasal,2006,April,,735,735,18,18,,18,,,,,,,,
Balasore,Remuna,2006,July,,732,732,12,9,,12,,,,,,,,
Boudh,Baunsuni,2006,May,,716,716,44,32,,44,,,,,,,,
Bhadrak,Bhadrak Town,2006,February,,773,773,8,2,,8,,,,,,,,
Bolangir,Jamugaon,2006,March,,1173,1173,70,29,,57,,,,,,,,
Balasore,Gopalpur,2006,May,,232,232,3,,,3,,,,,,,,
Baragarh,Talpalli,2006,August,,770,770,53,46,,53,,,,,,,,
Bolangir,Deogaon,2006,August,,1604,1604,134,120,,109,,,,,,,,
Deogarh,Chhatabar,2006,June,,1418,1418,125,90,,108,,,,,,,,
Cuttack,Bindharima,2006,April,,136,136,,,,,,,,,,,,
Baragarh,Agalpur,2006,September,,1585,1585,59,36,,59,,,,,,,,
Baragarh,Baragarh Hospital,2006,May,,265,265,13,8,,13,,,,,,,,
Deogarh,Chhatabar,2006,April,,1353,1353,99,75,,89,,,,,,,,
Boudh,Manamunda,2006,November,,1378,1378,176,143,,176,,,,,,,,
Balasore,Balasore Town,2006,February,,498,498,20,20,,20,1,,,,,,,
Dhenkanal,Mathakargola,2006,January,,748,748,83,58,,83,,,,,,,,
Cuttack,Tangi,2006,April,,589,589,3,2,,3,,,,,,,,
Bolangir,Kholen,2006,May,,351,351,37,8,,34,,,,,,,,
Balasore,Pratappur,2006,September,,570,570,10,10,,10,,,,,,,,
Cuttack,Berhampur(Cuttack),2006,May,,622,622,24,,,24,,,,,,,,
Baragarh,Sohella,2006,February,,775,775,29,29,,29,,,,,,,,
Boudh,Manamunda,2006,May,,801,801,100,68,,100,,,,,,,,
Dhenkanal,Parjang,2006,April,,253,253,6,6,,6,,,,,,,,
Baragarh,Pahadsirigida,2006,November,,1151,1151,40,9,,40,,,,,,,,
Balasore,Berhampur(Balasore),2006,August,,1388,1388,7,7,,7,,,,,,,,
Baragarh,Barapalli,2006,April,,153,153,1,,,1,,,,,,,,
Angul,Khamar,2006,December,,1326,1326,128,126,,128,,,,,,,,
Bhadrak,Basudevpur,2006,February,,1193,1193,2,1,,2,,,,,,,,
Bhadrak,Bhadrak Town,2006,August,,799,799,23,10,,23,,,,,,,,
Dhenkanal,"HQ Hospital,Dhenkanal",2006,January,,101,101,8,8,,8,,,,,,,,
Dhenkanal,Mathakargola,2006,March,,895,895,106,81,,106,,,,,,,,
Angul,Bantala,2006,July,,2553,2553,278,247,,278,,,,,,,,
Baragarh,Jamala,2006,September,,541,541,3,3,,3,,,,,,,,
Dhenkanal,Parjang,2006,November,,1116,1116,81,79,,81,,,,,,,,
Bolangir,Ghasian,2006,July,,3387,3387,135,108,,133,,,,,,,,
Baragarh,Bukramunda,2006,July,,1267,1267,75,75,,75,,,,,,,,
Cuttack,Berhampur(Cuttack),2006,September,,1048,1048,19,,,19,,,,,,,,
Baragarh, Dova,2006,October,,384,384,15,4,,15,,,,,,,,
Angul,Koshala,2006,June,,1974,974,161,148,,161,,,,,,,,
Deogarh,Bamparda,2006,April,,953,953,102,88,,43,,,,,,,,
Balasore,Simulia,2006,March,,442,442,1,,,1,,,,,,,,
Cuttack,Kanpur,2006,May,,687,687,21,18,,21,,,,,,,,
Balasore,Rupsa,2006,December,,904,904,,,,,,,,,,,,
Bolangir,Jamugaon,2006,June,,957,957,61,32,,61,,,,,,,,
Baragarh,Agalpur,2006,October,,1455,1455,14,9,,14,,,,,,,,
Baragarh,Baragarh Hospital,2006,January,,214,214,2,,,2,,,,,,,,
Boudh,Baunsuni,2006,February,,1138,1138,60,31,,60,1,,,,,,,
Balasore,Rupsa,2006,November,,1602,1602,,,,,,,,,,,,
Cuttack,Bentaka,2006,May,,456,456,1,,,1,,,,,,,,
Boudh,Aderigarh,2006,October,,1049,1049,55,53,,55,,,,,,,,
Bolangir,Muribahal,2006,March,,500,500,52,34,,52,,,,,,,,
Baragarh,Sohella,2006,May,,706,706,38,38,,38,,,,,,,,
Balasore,Jaleswapur,2006,February,,881,881,9,3,,9,,,,,,,,
Bhadrak,Tihidi,2006,January,,784,784,3,,,3,,,,,,,,
Dhenkanal,Sriramchandrapur,2006,June,,1769,1769,123,103,,123,,,,,,,,
Bhadrak,Chandabali,2006,November,,2358,2358,6,1,,6,,,,,,,,
Cuttack,Niali,2006,April,,443,443,,,,,,,,,,,,
Boudh,Aderigarh,2006,March,,1040,1040,60,58,,60,2,,,,,,,
Baragarh,Padmapur Hospital,2006,January,,193,193,30,6,,22,,,,,,,,
Balasore,Remuna,2006,March,,627,627,6,6,,6,,,,,,,,
Bhadrak,Dhamnagar,2006,September,,1655,1655,6,,,6,,,,,,,,
Baragarh,Jamala,2006,December,,1981,1981,42,30,,42,,,,,,,,
Baragarh,Agalpur,2006,June,,1136,1136,4,3,,4,,,,,,,,
Bolangir,Jamugaon,2006,September,,1583,1583,132,80,,132,,,,,,,,
Balasore,Iswarpur,2006,May,,519,519,30,30,,30,,,,,,,,
Bhadrak,Bhandaripokhari,2006,April,,1155,1155,2,1,,2,,,,,,,,
Angul,Kaniha,2006,July,,1995,1995,277,185,,277,,,,,,,,
