dist,phc,yr,mnth,totfever,bsc,bse,totsp,sppf,sppv,totrt,death,totact,totinj,outbreak,totrefer,totrdt,rdtpos_pf,rdtpos_pv
Angul,Khamar,2003,January,,1576,1576,144,136,,144,,,,,,,,
Angul,Khamar,2003,February,,1746,1746,153,139,,153,,,,,,,,
Angul,Khamar,2003,March,,2471,2471,203,185,,203,,,,,,,,
Angul,Khamar,2003,April,,2033,2033,117,100,,117,,,,,,,,
Angul,Khamar,2003,May,,1667,1667,121,112,,121,,,,,,,,
Angul,Khamar,2003,June,,2006,2006,162,143,,162,,,,,,,,
Angul,Khamar,2003,July,,4097,4097,405,385,,405,,,,,,,,
Angul,Khamar,2003,August,,2720,2720,340,330,,340,,,,,,,,
Angul,Khamar,2003,September,,2965,2965,227,218,,227,,,,,,,,
Angul,Khamar,2003,October,,2425,2425,214,205,,214,,,,,,,,
Angul,Khamar,2003,November,,1739,1739,147,135,,147,,,,,,,,
Angul,Khamar,2003,December,,1473,1473,115,105,,115,,,,,,,,
Angul,Kaniha,2003,January,,322,322,72,62,,72,,,,,,,,
Angul,Kaniha,2003,February,,364,364,102,70,,102,,,,,,,,
Angul,Kaniha,2003,March,,437,437,122,74,,122,,,,,,,,
Angul,Kaniha,2003,April,,338,338,88,50,,88,1,,,,,,,
Angul,Kaniha,2003,May,,261,261,81,47,,81,,,,,,,,
Angul,Kaniha,2003,June,,380,380,112,74,,112,,,,,,,,
Angul,Kaniha,2003,July,,551,551,134,89,,134,,,,,,,,
Angul,Kaniha,2003,August,,431,431,103,72,,105,,,,,,,,
Angul,Kaniha,2003,September,,443,443,105,72,,105,,,,,,,,
Angul,Kaniha,2003,October,,319,319,64,48,,64,,,,,,,,
Angul,Kaniha,2003,November,,280,280,61,45,,61,1,,,,,,,
Angul,Kaniha,2003,December,,440,440,94,66,,94,,,,,,,,
Angul,Banarpal,2003,January,,396,396,47,44,,47,,,,,,,,
Angul,Banarpal,2003,February,,445,445,87,84,,87,,,,,,,,
Angul,Banarpal,2003,March,,445,445,67,67,,67,1,,,,,,,
Angul,Banarpal,2003,April,,362,362,71,70,,71,1,,,,,,,
Angul,Banarpal,2003,May,,381,381,70,68,,70,,,,,,,,
Angul,Banarpal,2003,June,,566,566,115,114,,115,,,,,,,,
Angul,Banarpal,2003,July,,1222,1222,273,268,,273,,,,,,,,
Angul,Banarpal,2003,August,,952,952,131,127,,131,1,,,,,,,
Angul,Banarpal,2003,September,,1101,1101,169,168,,169,,,,,,,,
Angul,Banarpal,2003,October,,635,635,93,90,,93,,,,,,,,
Angul,Banarpal,2003,November,,553,553,74,74,,74,,,,,,,,
Angul,Banarpal,2003,December,,356,356,38,38,,38,,,,,,,,
Angul,Godibandha,2003,January,,676,676,125,50,,125,,,,,,,,
Angul,Godibandha,2003,February,,601,601,101,34,,101,,,,,,,,
Angul,Godibandha,2003,March,,647,647,84,27,,84,,,,,,,,
Angul,Godibandha,2003,April,,1018,1018,319,114,,318,,,,,,,,
Angul,Godibandha,2003,May,,627,627,127,47,,127,,,,,,,,
Angul,Godibandha,2003,June,,1074,1074,194,46,,194,,,,,,,,
Angul,Godibandha,2003,July,,1599,1599,296,86,,296,,,,,,,,
Angul,Godibandha,2003,August,,1174,1174,146,63,,146,,,,,,,,
Angul,Godibandha,2003,September,,1468,1468,201,53,,201,,,,,,,,
Angul,Godibandha,2003,October,,1122,1122,191,72,,191,,,,,,,,
Angul,Godibandha,2003,November,,859,859,144,75,,140,,,,,,,,
Angul,Godibandha,2003,December,,,,,,,,,,,,,,,
Angul,Bantala,2003,January,,372,372,50,4,,40,,,,,,,,
Angul,Bantala,2003,February,,462,462,39,34,,27,,,,,,,,
Angul,Bantala,2003,March,,526,526,69,33,,69,,,,,,,,
Angul,Bantala,2003,April,,343,434,42,11,,37,1,,,,,,,
Angul,Bantala,2003,May,,318,318,41,6,,46,,,,,,,,
