dist,phc,yr,mnth,totfever,bsc,bse,totsp,sppf,sppv,totrt,death,totact,totinj,outbreak,totrefer,totrdt,rdtpos_pf,rdtpos_pv
Balasore,Iswarpur,2005,August,,795,795,27,27,,27,,,,,,,,
Angul,Banarpal,2005,May,,807,807,91,84,,91,,,,,,,,
Bhadrak,Dhamnagar,2005,December,,1369,1369,1,,,1,,,,,,,,
Balasore,Anantapur,2005,November,,1882,1882,21,6,,21,,,,,,,,
Balasore,Gopalpur,2005,February,,1066,1066,5,,,5,,,,,,,,
Bolangir,Kholen,2005,November,,859,859,76,23,,62,,,,,,,,
Balasore,Basta,2005,July,,1000,1000,34,32,,34,,,,,,,,
Balasore,Pratappur,2005,December,,394,394,8,,,8,,,,,,,,
Angul,Kaniha,2005,December,,1772,1772,191,154,,191,,,,,,,,
Bhadrak,Dhamnagar,2005,August,,2088,2088,4,2,,4,,,,,,,,
Angul,Kaniha,2005,June,,1689,1689,212,174,,212,1,,,,,,,
Balasore,Hatigarh,2005,June,,1187,1187,3,,,3,,,,,,,,
Balasore,Remuna,2005,May,,601,601,4,2,,4,,,,,,,,
Baragarh,Bheden,2005,April,,563,563,30,30,,30,,,,,,,,
Balasore,Hatigarh,2005,April,,598,598,3,,,3,,,,,,,,
Bolangir,Deogaon,2005,November,,1407,1407,155,145,,133,,,,,,,,
Angul,Bantala,2005,July,,1555,1555,303,280,,303,,,,,,,,
Baragarh,Bheden,2005,October,,746,746,81,75,,81,,,,,,,,
Balasore,Remuna,2005,August,,975,975,10,10,,10,,,,,,,,
Bhadrak,Agarpada,2005,March,,976,976,10,6,,10,,,,,,,,
Bolangir,Chudapali,2005,October,,1247,1247,178,44,,178,,,,,,,,
Bhadrak,Barpada,2005,July,,1525,1525,4,3,,4,,,,,,,,
Bolangir,Kholen,2005,September,,1763,1769,28,7,,25,,,,,,,,
Angul,R.K.Nagar,2005,July,,861,861,136,132,,136,,,,,,,,
Baragarh,Katapali,2005,August,,2143,2143,30,11,,30,,,,,,,,
Angul,Madhapur,2005,December,,2099,2099,248,222,,248,,,,,,,,
Bhadrak,Dhamnagar,2005,May,,1309,1309,5,1,,5,,,,,,,,
Balasore,Simulia,2005,January,,341,341,3,1,,3,1,,,,,,,
Bhadrak,Chandabali,2005,April,,821,821,2,2,,2,,,,,,,,
Bolangir,Sindheikela,2005,June,,1018,1018,29,7,,29,,,,,,,,
Balasore,Khaira,2005,November,,534,534,7,4,,7,,,,,,,,
Baragarh,Agalpur,2005,December,,1393,1393,3,2,,3,,,,,,,,
Baragarh,Bhukta,2005,February,,463,463,32,31,,32,,,,,,,,
Bhadrak,Agarpada,2005,August,,1201,1201,14,4,,14,,,,,,,,
Balasore,Iswarpur,2005,February,,732,732,17,12,,17,,,,,,,,
Baragarh,Sohella,2005,May,,712,712,38,38,,38,,,,,,,,
Balasore,Anantapur,2005,July,,1802,1802,52,27,,52,,,,,,,,
Bolangir,Ghasian,2005,December,,1523,1523,114,99,,114,,,,,,,,
Baragarh,Sohella,2005,August,,2023,2023,90,87,,90,,,,,,,,
Angul,Godibandha,2005,July,,2436,2436,246,99,,246,,,,,,,,
Bhadrak,Bhadrak Town,2005,December,,834,834,15,11,,15,,,,,,,,
Angul,Bantala,2005,September,,2959,2959,519,454,,519,,,,,,,,
Bhadrak,Barpada,2005,August,,1850,1850,2,1,,2,,,,,,,,
Baragarh,Bheden,2005,March,,871,871,43,42,,43,,,,,,,,
Angul,Kaniha,2005,August,,1661,1661,208,173,,208,,,,,,,,
Bolangir,Kholen,2005,April,,598,598,40,22,,38,,,,,,,,
Baragarh,Pahadsirigida,2005,September,,1248,1248,59,20,,59,,,,,,,,
Bolangir,Ghasian,2005,March,,1005,1005,63,44,,44,,,,,,,,
Bolangir,Tureikella,2005,March,,1534,1534,84,67,,84,,,,,,,,
Balasore,Nilagiri S.D.H,2005,October,,226,226,13,12,,13,,,,,,,,
Angul,Kaniha,2005,April,,1395,1395,185,131,,185,,,,,,,,
Bhadrak,Agarpada,2005,November,,1187,1187,8,3,,8,,,,,,,,
Bhadrak,Bhandaripokhari,2005,November,,1029,1029,3,,,3,,,,,,,,
Bhadrak,Tihidi,2005,June,,1873,1873,4,1,,4,,,,,,,,
Bolangir,Khaprakhol,2005,August,,2675,2343,199,168,,172,,,,,,,,
Baragarh,Pahadsirigida,2005,July,,486,486,36,12,,36,,,,,,,,
Balasore,Balasore Town,2005,July,,843,843,30,29,,30,,,,,,,,
Bolangir,Jamugaon,2005,July,,975,975,66,33,,62,,,,,,,,
Bolangir,Kholen,2005,January,,491,491,21,7,,15,,,,,,,,
Bolangir,Saintala,2005,February,,684,684,94,7,,94,,,,,,,,
Bhadrak,Bhandaripokhari,2005,July,,1414,1414,3,2,,3,,,,,,,,
Bolangir,Loisinga,2005,March,,912,912,69,43,,43,,,,,,,,
Balasore,Remuna,2005,November,,506,506,4,3,,4,,,,,,,,
Balasore,Anantapur,2005,August,,2333,2333,59,28,,59,,,,,,,,
Balasore,Hatigarh,2005,February,,598,598,2,,,2,,,,,,,,
Baragarh,Sohella,2005,June,,577,577,33,33,,33,,,,,,,,
Balasore,Gopalpur,2005,October,,1267,1267,11,,,11,,,,,,,,
Balasore,Balasore Town,2005,January,,375,375,7,7,,7,,,,,,,,
Balasore,Simulia,2005,May,,496,496,1,,,1,,,,,,,,
Bhadrak,Barpada,2005,October,,1342,1342,4,2,,4,1,,,,,,,
Bolangir,Khaprakhol,2005,May,,935,935,33,29,,33,,,,,,,,
Balasore,Anantapur,2005,October,,1772,1772,28,11,,28,,,,,,,,
Bhadrak,Barpada,2005,May,,1209,1209,2,1,,2,,,,,,,,
Baragarh,Bheden,2005,September,,1481,1481,112,93,,112,,,,,,,,
Angul,Banarpal,2005,August,,2779,2779,285,280,,285,,,,,,,,
Bhadrak,Bhandaripokhari,2005,September,,1778,1778,13,1,,13,,,,,,,,
Bhadrak,Bhadrak Town,2005,October,,826,826,20,17,,19,,,,,,,,
Angul,Madhapur,2005,January,,5126,5126,833,692,,833,3,,,,,,,
Balasore,Anantapur,2005,April,,1223,1223,37,11,,37,,,,,,,,
Bhadrak,Bhandaripokhari,2005,March,,953,953,3,1,,3,,,,,,,,
Bolangir,Loisinga,2005,September,,2816,2816,188,106,,188,,,,,,,,
Angul,Koshala,2005,June,,1289,1289,87,78,,87,,,,,,,,
Balasore,Pratappur,2005,May,,397,397,4,,,4,,,,,,,,
Balasore,Iswarpur,2005,May,,762,762,37,33,,37,,,,,,,,
Balasore,Balasore Town,2005,September,,1004,1004,54,51,,54,,,,,,,,
Bhadrak,Tihidi,2005,March,,1681,1681,10,3,,10,,,,,,,,
Balasore,Jaleswapur,2005,April,,984,984,8,3,,8,,,,,,,,
Angul,Bantala,2005,June,,1171,1171,224,210,,224,,,,,,,,
Bhadrak,Basudevpur,2005,January,,644,644,4,2,,4,,,,,,,,
Bhadrak,Tihidi,2005,August,,3292,3292,10,3,,10,,,,,,,,
Balasore,Balasore Town,2005,November,,808,808,41,41,,41,1,,,,,,,
Balasore,Berhampur(Balasore),2005,February,,739,739,5,5,,5,,,,,,,,
Bhadrak,Dhamnagar,2005,March,,1651,1651,18,2,,18,,,,,,,,
Balasore,Balasore Town,2005,March,,431,431,20,18,,20,,,,,,,,
Balasore,Anantapur,2005,February,,787,787,6,2,,6,,,,,,,,
Bhadrak,Chandabali,2005,February,,1079,1079,3,2,,3,,,,,,,,
Balasore,Remuna,2005,July,,1230,1230,6,4,,6,,,,,,,,
Angul,R.K.Nagar,2005,February,,843,843,124,121,,124,,,,,,,,
