dist,phc,yr,mnth,totfever,bsc,bse,totsp,sppf,sppv,totrt,death,totact,totinj,outbreak,totrefer,totrdt,rdtpos_pf,rdtpos_pv
Bolangir,Chudapali,2005,May,,463,463,47,14,,47,,,,,,,,
Bolangir,Chudapali,2005,July,,725,725,110,29,,96,,,,,,,,
Bolangir,Kholen,2005,August,,1423,1423,55,30,,47,,,,,,,,
Balasore,Rupsa,2005,March,,1033,1033,7,4,,4,,,,,,,,
Bhadrak,Agarpada,2005,June,,1172,1172,5,,,5,,,,,,,,
Baragarh,Pahadsirigida,2005,March,,418,418,29,11,,29,,,,,,,,
Bolangir,Jamugaon,2005,April,,851,851,46,28,,44,,,,,,,,
Bolangir,Kholen,2005,February,,577,577,29,17,,22,,,,,,,,
Bolangir,Loisinga,2005,May,,834,834,37,26,,37,,,,,,,,
Baragarh,Bhattli,2005,March,,568,568,7,4,,7,,,,,,,,
Bhadrak,Agarpada,2005,December,,1119,1119,16,6,,16,,,,,,,,
Bolangir,Muribahal,2005,June,,632,632,72,58,,72,,,,,,,,
Bhadrak,Tihidi,2005,April,,1515,1515,9,1,,9,,,,,,,,
Bhadrak,Chandabali,2005,July,,2371,2371,3,1,,3,,,,,,,,
Baragarh,Bhattli,2005,January,,477,477,7,6,,7,,,,,,,,
Balasore,Khaira,2005,September,,1448,1448,3,2,,3,,,,,,,,
Angul,Koshala,2005,October,,2600,2600,168,158,,168,,,,,,,,
Balasore,Rupsa,2005,May,,689,689,4,3,,4,,,,,,,,
Bhadrak,Barpada,2005,April,,1230,1230,2,2,,2,,,,,,,,
Bolangir,Loisinga,2005,December,,742,742,60,41,,60,,,,,,,,
Bhadrak,Dhamnagar,2005,July,,1973,1973,5,2,,5,,,,,,,,
Baragarh,Pahadsirigida,2005,February,,430,430,27,5,,27,,,,,,,,
Angul,R.K.Nagar,2005,October,,1924,1924,242,238,,242,,,,,,,,
Baragarh,Agalpur,2005,May,,1022,1022,18,18,,18,,,,,,,,
Bolangir,Sindheikela,2005,January,,1135,1135,31,4,,31,,,,,,,,
Bolangir,Chudapali,2005,June,,414,414,76,21,,66,,,,,,,,
Bolangir,Chudapali,2005,April,,436,436,103,19,,82,,,,,,,,
Bhadrak,Barpada,2005,September,,1730,1730,1,1,,1,,,,,,,,
Balasore,Rupsa,2005,July,,1356,1356,7,3,,7,,,,,,,,
Bhadrak,Agarpada,2005,February,,598,598,2,,,2,,,,,,,,
Bhadrak,Bhandaripokhari,2005,May,,1215,1215,1,,,1,,,,,,,,
Bolangir,Ghasian,2005,October,,2264,2264,182,156,,169,,,,,,,,
Balasore,Simulia,2005,June,,504,504,5,,,5,,,,,,,,
Bolangir,Khaprakhol,2005,July,,1351,1351,45,42,,45,,,,,,,,
Bolangir,Muribahal,2005,September,,711,711,57,35,,48,,,,,,,,
Angul,Banarpal,2005,September,,2562,2562,317,313,,314,,,,,,,,
Baragarh,Sohella,2005,July,,884,884,53,53,,53,,,,,,,,
Bolangir,Sindheikela,2005,February,,795,795,24,1,,24,,,,,,,,
Bhadrak,Chandabali,2005,December,,914,914,1,,,1,,,,,,,,
Angul,R.K.Nagar,2005,March,,1038,1038,163,158,,163,,,,,,,,
Angul,Kaniha,2005,September,,1977,1977,287,218,,287,,,,,,,,
Bolangir,Sindheikela,2005,December,,1223,1223,50,6,,50,,,,,,,,
Bolangir,Loisinga,2005,October,,2032,2032,211,119,,211,,,,,,,,
Baragarh,Pahadsirigida,2005,June,,337,337,24,5,,24,,,,,,,,
Baragarh,Bhukta,2005,August,,1470,1470,66,62,,66,,,,,,,,
Bolangir,Belpara,2005,May,,665,665,41,41,,41,,,,,,,,
Bhadrak,Dhamnagar,2005,June,,1433,1433,5,1,,5,,,,,,,,
Balasore,Gopalpur,2005,June,,934,934,8,,,8,,,,,,,,
Bhadrak,Bhadrak Town,2005,January,,545,545,27,27,,25,,,,,,,,
Bhadrak,Tihidi,2005,May,,1544,1544,5,,,5,,,,,,,,
Bolangir,Chudapali,2005,February,,438,438,69,14,,69,,,,,,,,
Bolangir,Muribahal,2005,October,,799,799,69,48,,69,,,,,,,,
Bhadrak,Basudevpur,2005,March,,1140,1140,5,2,,5,,,,,,,,
Baragarh,Agalpur,2005,July,,2024,2024,99,95,,99,,,,,,,,
Angul,Kaniha,2005,March,,1327,1327,227,188,,227,,,,,,,,
Bolangir,Kholen,2005,May,,510,510,12,7,,9,,,,,,,,
Balasore,Jaleswapur,2005,September,,1998,1998,12,1,,12,,,,,,,,
Angul,Koshala,2005,September,,3436,3436,262,247,,262,,,,,,,,
Bhadrak,Barpada,2005,March,,1370,1370,3,,,3,,,,,,,,
Bolangir,Loisinga,2005,June,,651,651,41,26,,41,,,,,,,,
Balasore,Rupsa,2005,December,,636,636,4,2,,4,,,,,,,,
Bhadrak,Bhadrak Town,2005,May,,714,714,22,17,,22,,,,,,,,
Angul,Godibandha,2005,September,,2253,2253,262,69,,262,,,,,,,,
Angul,Bantala,2005,May,,1336,1336,310,283,,310,,,,,,,,
Baragarh,Sohella,2005,November,,1145,1145,42,42,,42,,,,,,,,
Balasore,Berhampur(Balasore),2005,January,,476,476,3,3,,3,,,,,,,,
Balasore,Pratappur,2005,July,,666,666,6,,,6,,,,,,,,
Balasore,Iswarpur,2005,December,,383,383,151,151,,151,,,,,,,,
Bolangir,Ghasian,2005,January,,829,829,61,42,,51,,,,,,,,
Balasore,Gopalpur,2005,July,,997,997,10,,,10,,,,,,,,
Angul,R.K.Nagar,2005,June,,593,593,94,91,,94,,,,,,,,
Baragarh,Bhukta,2005,January,,352,352,15,13,,15,,,,,,,,
Balasore,Remuna,2005,March,,705,705,4,3,,4,,,,,,,,
Bolangir,Muribahal,2005,July,,658,658,68,53,,68,,,,,,,,
Bhadrak,Bhadrak Town,2005,March,,773,773,77,68,,76,,,,,,,,
Bolangir,Belpara,2005,August,,1636,1636,111,108,,111,,,,,,,,
Balasore,Remuna,2005,January,,680,680,6,3,,6,,,,,,,,
Balasore,Anantapur,2005,September,,2000,2000,33,14,,33,,,,,,,,
Bhadrak,Chandabali,2005,November,,1253,1253,2,1,,2,,,,,,,,
Balasore,Gopalpur,2005,December,,968,968,8,,,8,,,,,,,,
Baragarh,Bhattli,2005,November,,308,308,6,6,,6,,,,,,,,
Balasore,Khaira,2005,January,,792,792,18,10,,18,,,,,,,,
Balasore,Hatigarh,2005,August,,1196,1196,40,37,,40,,,,,,,,
Balasore,Hatigarh,2005,January,,587,587,2,,,2,,,,,,,,
Angul,Bantala,2005,April,,1548,1548,443,415,,443,,,,,,,,
Bolangir,Deogaon,2005,October,,910,910,90,79,,75,,,,,,,,
Baragarh,Katapali,2005,April,,912,912,14,9,,14,,,,,,,,
Angul,Banarpal,2005,October,,1698,1698,176,174,,176,,,,,,,,
Bolangir,Tureikella,2005,April,,1210,1210,68,59,,68,,,,,,,,
Balasore,Pratappur,2005,September,,710,710,11,,,11,,,,,,,,
Angul,Kaniha,2005,July,,1721,1721,181,148,,181,,,,,,,,
Bolangir,Gudvella,2005,September,,925,925,98,44,,98,,,,,,,,
Balasore,Gopalpur,2005,August,,1078,1078,8,,,8,,,,,,,,
Balasore,Gopalpur,2005,September,,1105,1105,7,,,7,,,,,,,,
Angul,Bantala,2005,March,,1384,1384,330,329,,330,,,,,,,,
Bolangir,Khaprakhol,2005,June,,955,955,33,30,,33,,,,,,,,
Angul,Banarpal,2005,January,,1017,1017,93,93,,93,,,,,,,,
Balasore,Iswarpur,2005,April,,701,701,25,22,,22,1,,,,,,,
Angul,Banarpal,2005,June,,998,998,101,94,,101,,,,,,,,
Balasore,Balasore Town,2005,May,,381,381,20,18,,20,,,,,,,,
Balasore,Basta,2005,June,,690,690,14,11,,14,,,,,,,,
Balasore,Berhampur(Balasore),2005,May,,799,799,10,10,,10,,,,,,,,
Baragarh,Katapali,2005,December,,574,574,9,5,,9,,,,,,,,
Bolangir,Muribahal,2005,December,,692,692,54,38,,54,,,,,,,,
Bolangir,Loisinga,2005,April,,918,918,39,28,,39,,,,,,,,
Bolangir,Deogaon,2005,May,,890,890,80,75,,73,,,,,,,,
Balasore,Iswarpur,2005,March,,696,696,23,21,,23,,,,,,,,
Baragarh,Pahadsirigida,2005,April,,270,270,33,12,,33,,,,,,,,
Bolangir,Belpara,2005,January,,619,619,33,28,,33,,,,,,,,
Baragarh,Katapali,2005,May,,882,882,11,8,,8,,,,,,,,
Balasore,Khaira,2005,April,,882,882,34,24,,34,1,,,,,,,
Angul,Kaniha,2005,November,,1605,1605,205,163,,205,,,,,,,,
Balasore,Jaleswapur,2005,February,,1530,1530,3,1,,3,,,,,,,,
Bhadrak,Bhandaripokhari,2005,April,,970,970,,,,,,,,,,,,
Bolangir,Chudapali,2005,August,,1382,1382,294,80,,294,,,,,,,,
Balasore,Iswarpur,2005,October,,446,446,90,90,,90,,,,,,,,
Angul,Bantala,2005,October,,1770,1770,315,263,,315,,,,,,,,
Balasore,Berhampur(Balasore),2005,September,,2002,2002,12,12,,12,,,,,,,,
Baragarh,Bhukta,2005,October,,1148,1148,25,23,,25,,,,,,,,
Baragarh,Katapali,2005,January,,826,826,9,6,,9,,,,,,,,
Angul,Banarpal,2005,April,,906,906,77,77,,77,,,,,,,,
Bolangir,Deogaon,2005,April,,418,418,49,43,,49,,,,,,,,
Balasore,Simulia,2005,August,,1245,1245,6,4,,6,,,,,,,,
Bolangir,Chudapali,2005,November,,976,967,103,28,,103,,,,,,,,
Bhadrak,Bhandaripokhari,2005,December,,1045,1045,1,,,1,,,,,,,,
Bhadrak,Basudevpur,2005,November,,1337,1337,2,1,,2,,,,,,,,
Balasore,Anantapur,2005,December,,1143,1143,12,4,,12,,,,,,,,
Balasore,Basta,2005,October,,805,805,29,16,,29,,,,,,,,
Balasore,Berhampur(Balasore),2005,August,,1544,1544,7,7,,7,,,,,,,,
Angul,Kaniha,2005,February,,952,952,173,129,,173,,,,,,,,
Bhadrak,Bhandaripokhari,2005,January,,1118,1118,1,1,,1,,,,,,,,
Baragarh,Bhattli,2005,October,,885,885,6,6,,6,,,,,,,,
Bolangir,Belpara,2005,September,,1759,1758,170,151,,170,,,,,,,,
Balasore,Balasore Town,2005,October,,655,655,41,39,,41,,,,,,,,
Bolangir,Jamugaon,2005,March,,1113,1113,60,39,,39,,,,,,,,
Balasore,Berhampur(Balasore),2005,July,,750,750,6,6,,6,,,,,,,,
Bhadrak,Tihidi,2005,,,,,,,,,,,,,,,,
Balasore,Khaira,2005,June,,1024,1024,25,9,,25,,,,,,,,
Balasore,Gopalpur,2005,November,,952,952,6,,,6,,,,,,,,
Angul,Koshala,2005,July,,1912,1912,93,82,,93,,,,,,,,
Bolangir,Kholen,2005,July,,915,915,28,8,,21,,,,,,,,
Baragarh,Bhukta,2005,June,,476,476,5,5,,5,,,,,,,,
Baragarh,Bhukta,2005,September,,1978,1978,92,89,,92,,,,,,,,
Angul,Khamar,2005,March,,2027,2027,142,132,,142,,,,,,,,
Balasore,Basta,2005,January,,506,506,17,16,,16,,,,,,,,
Angul,Godibandha,2005,December,,1180,1180,126,42,,126,,,,,,,,
Balasore,Balasore Town,2005,December,,436,436,21,21,,21,,,,,,,,
Baragarh,Bheden,2005,August,,940,940,70,65,,70,,,,,,,,
Bhadrak,Dhamnagar,2005,September,,1789,1789,11,5,,11,,,,,,,,
Balasore,Jaleswapur,2005,December,,1144,1144,13,7,,13,,,,,,,,
Bolangir,Muribahal,2005,April,,480,480,49,16,,49,,,,,,,,
Bhadrak,Bhadrak Town,2005,April,,675,675,25,21,,25,,,,,,,,
Balasore,Anantapur,2005,May,,1263,1263,26,10,,26,,,,,,,,
Bhadrak,Barpada,2005,February,,1484,1484,,,,,,,,,,,,
Angul,Khamar,2005,December,,1529,1529,114,112,,114,,,,,,,,
Bolangir,Deogaon,2005,August,,1425,1425,163,134,,129,,,,,,,,
Balasore,Hatigarh,2005,September,,1507,1507,5,,,5,,,,,,,,
Baragarh,Agalpur,2005,March,,1105,1105,35,35,,35,,,,,,,,
Bhadrak,Bhandaripokhari,2005,February,,965,965,,,,,,,,,,,,
Bolangir,Tureikella,2005,July,,1915,1915,114,106,,108,,,,,,,,
Baragarh,Agalpur,2005,August,,2035,2035,81,77,,80,,,,,,,,
Bolangir,Deogaon,2005,December,,609,609,83,74,,76,,,,,,,,
Balasore,Gopalpur,2005,March,,1078,1078,4,,,4,,,,,,,,
Bolangir,Ghasian,2005,July,,1429,1429,80,66,,72,,,,,,,,
Balasore,Jaleswapur,2005,March,,1215,1215,8,6,,8,,,,,,,,
Baragarh,Bhattli,2005,July,,1086,1086,8,6,,8,,,,,,,,
Bolangir,Chudapali,2005,March,,533,533,103,21,,21,,,,,,,,
Bhadrak,Tihidi,2005,September,,3515,3515,5,1,,5,,,,,,,,
Balasore,Rupsa,2005,June,,831,831,6,3,,6,,,,,,,,
Bolangir,Belpara,2005,November,,1489,1489,99,98,,99,,,,,,,,
Bhadrak,Chandabali,2005,March,,883,883,6,3,,6,,,,,,,,
Baragarh,Pahadsirigida,2005,December,,1245,1245,36,11,,36,,,,,,,,
Angul,Banarpal,2005,November,,1345,1345,149,146,,149,,,,,,,,
Bolangir,Khaprakhol,2005,November,,2955,2955,505,456,,505,,,,,,,,
Bolangir,Sindheikela,2005,October,,1550,1550,40,5,,40,,,,,,,,
Bhadrak,Bhadrak Town,2005,February,,619,619,19,18,,18,,,,,,,,
Balasore,Pratappur,2005,April,,438,438,4,,,4,,,,,,,,
Bolangir,Sindheikela,2005,May,,1105,1105,37,6,,37,,,,,,,,
Bhadrak,Chandabali,2005,June,,1711,1711,12,9,,12,,,,,,,,
Bhadrak,Bhadrak Town,2005,September,,891,891,24,19,,24,,,,,,,,
Balasore,Simulia,2005,April,,412,412,5,1,,5,,,,,,,,
Bolangir,Gudvella,2005,July,,414,414,55,29,,35,,,,,,,,
Angul,R.K.Nagar,2005,September,,2048,2048,270,263,,270,,,,,,,,
Balasore,Jaleswapur,2005,June,,1463,1463,11,3,,11,,,,,,,,
Balasore,Simulia,2005,October,,836,863,3,2,,3,,,,,,,,
Bolangir,Deogaon,2005,September,,1603,1603,140,116,,102,,,,,,,,
Baragarh,Bheden,2005,February,,907,907,26,26,,26,,,,,,,,
Angul,Khamar,2005,August,,3233,3233,324,294,,324,,,,,,,,
Bolangir,Loisinga,2005,July,,1499,1499,58,36,,58,,,,,,,,
Bolangir,Saintala,2005,March,,658,658,90,10,,90,,,,,,,,
Balasore,Nilagiri S.D.H,2005,December,,80,80,8,7,,7,,,,,,,,
Bhadrak,Barpada,2005,November,,1212,1212,1,1,,1,,,,,,,,
Balasore,Rupsa,2005,February,,985,985,4,3,,4,,,,,,,,
Balasore,Jaleswapur,2005,August,,2315,2315,12,4,,12,,,,,,,,
Angul,Banarpal,2005,February,,1095,1095,112,112,,112,,,,,,,,
Balasore,Berhampur(Balasore),2005,October,,973,973,6,6,,6,,,,,,,,
Bolangir,Jamugaon,2005,June,,871,871,51,32,,40,,,,,,,,
Bhadrak,Barpada,2005,January,,1239,1239,1,1,,1,,,,,,,,
Balasore,Pratappur,2005,June,,467,467,6,,,6,,,,,,,,
Balasore,Jaleswapur,2005,July,,2123,2123,21,13,,19,2,,,,,,,
Bolangir,Loisinga,2005,August,,2391,2391,282,170,,282,,,,,,,,
Balasore,Berhampur(Balasore),2005,June,,750,750,6,6,,6,,,,,,,,
Bhadrak,Dhamnagar,2005,October,,1649,1649,5,,,5,,,,,,,,
Bolangir,Deogaon,2005,March,,764,764,96,91,,91,,,,,,,,
Balasore,Berhampur(Balasore),2005,November,,970,970,5,5,,5,,,,,,,,
Bolangir,Chudapali,2005,December,,595,595,77,18,,77,,,,,,,,
Balasore,Gopalpur,2005,May,,945,945,6,,,6,,,,,,,,
Balasore,Khaira,2005,October,,919,919,9,1,,9,,,,,,,,
Bhadrak,Dhamnagar,2005,February,,1263,1263,6,,,6,,,,,,,,
Angul,Madhapur,2005,March,,1209,1209,143,126,,143,2,,,,,,,
Bolangir,Ghasian,2005,May,,1061,1061,60,45,,55,,,,,,,,
Bhadrak,Basudevpur,2005,May,,1575,1575,2,1,,2,,,,,,,,
Baragarh,Bheden,2005,December,,553,553,25,23,,25,,,,,,,,
Balasore,Remuna,2005,June,,864,864,7,6,,7,,,,,,,,
Bolangir,Khaprakhol,2005,February,,763,763,60,51,,60,,,,,,,,
Bhadrak,Tihidi,2005,February,,1764,1764,7,4,,7,,,,,,,,
Baragarh,Sohella,2005,October,,2172,2172,106,105,,106,,,,,,,,
Angul,Khamar,2005,May,,1672,1672,120,106,,120,,,,,,,,
Angul,Koshala,2005,May,,1518,1518,82,76,,82,,,,,,,,
Bolangir,Khaprakhol,2005,March,,1148,1148,64,58,,58,,,,,,,,
Balasore,Basta,2005,November,,580,580,38,13,,38,,,,,,,,
Baragarh,Bhukta,2005,November,,684,684,22,22,,22,,,,,,,,
Balasore,Gopalpur,2005,January,,824,824,2,,,2,,,,,,,,
Angul,Koshala,2005,January,,1107,1107,82,76,,82,,,,,,,,
Balasore,Jaleswapur,2005,January,,1073,1073,6,1,,6,,,,,,,,
Bolangir,Belpara,2005,February,,843,843,42,36,,42,,,,,,,,
Bolangir,Tureikella,2005,June,,1171,1171,89,76,,88,,,,,,,,
Bolangir,Jamugaon,2005,February,,922,922,55,34,,34,,,,,,,,
Bolangir,Sindheikela,2005,July,,1505,1505,46,9,,46,,,,,,,,
Balasore,Khaira,2005,August,,2369,2369,38,17,,38,,,,,,,,
Baragarh,Katapali,2005,June,,892,892,14,8,,14,,,,,,,,
Bolangir,Sindheikela,2005,April,,1089,1089,42,2,,42,,,,,,,,
Angul,Koshala,2005,February,,1295,1295,105,101,,105,,,,,,,,
Bolangir,Sindheikela,2005,August,,2062,2062,73,19,,73,,,,,,,,
Bolangir,Jamugaon,2005,May,,865,865,39,29,,39,,,,,,,,
Balasore,Rupsa,2005,August,,1468,1468,15,9,,15,,,,,,,,
Balasore,Simulia,2005,December,,375,375,1,1,,1,,,,,,,,
Bolangir,Jamugaon,2005,September,,1485,1485,83,33,,83,,,,,,,,
Bolangir,Ghasian,2005,February,,1050,1050,59,43,,52,,,,,,,,
Balasore,Remuna,2005,October,,666,666,7,6,,7,,,,,,,,
Bhadrak,Agarpada,2005,July,,1172,1172,11,5,,11,,,,,,,,
Bhadrak,Agarpada,2005,September,,1522,1522,6,,,6,,,,,,,,
Balasore,Khaira,2005,May,,1220,1220,60,37,,60,,,,,,,,
Bhadrak,Basudevpur,2005,April,,1243,1243,1,1,,1,,,,,,,,
Bhadrak,Dhamnagar,2005,April,,1231,1231,7,1,,7,,,,,,,,
Bolangir,Jamugaon,2005,November,,1030,1030,81,56,,76,,,,,,,,
Bhadrak,Tihidi,2005,January,,994,994,5,,,5,,,,,,,,
Balasore,Simulia,2005,July,,995,995,2,,,2,,,,,,,,
Balasore,Iswarpur,2005,July,,631,631,25,24,,25,,,,,,,,
Balasore,Anantapur,2005,January,,572,572,9,4,,9,,,,,,,,
Angul,Godibandha,2005,June,,895,895,101,33,,101,,,,,,,,
Angul,R.K.Nagar,2005,August,,1494,1494,240,234,,240,,,,,,,,
Baragarh,Bhattli,2005,September,,1619,1619,15,12,,15,,,,,,,,
Bhadrak,Dhamnagar,2005,November,,1299,1299,3,,,3,,,,,,,,
Balasore,Pratappur,2005,November,,619,619,9,,,9,,,,,,,,
Balasore,Hatigarh,2005,October,,971,971,5,,,5,,,,,,,,
Angul,Banarpal,2005,December,,926,926,95,91,,95,,,,,,,,
Bhadrak,Chandabali,2005,September,,2623,2623,5,,,5,,,,,,,,
Angul,Koshala,2005,December,,1893,1893,201,189,,201,,,,,,,,
Balasore,Berhampur(Balasore),2005,December,,926,926,3,,,3,,,,,,,,
Bolangir,Khaprakhol,2005,January,,1147,1147,154,139,,142,,,,,,,,
Bolangir,Loisinga,2005,January,,612,612,49,33,,49,,,,,,,,
Angul,Khamar,2005,November,,2334,2334,192,177,,192,,,,,,,,
Angul,R.K.Nagar,2005,January,,861,861,131,130,,131,,,,,,,,
Angul,Khamar,2005,February,,1780,1780,144,133,,144,,,,,,,,
Bolangir,Sindheikela,2005,March,,1069,1069,37,1,,1,,,,,,,,
