dist,phc,yr,mnth,totfever,bsc,bse,totsp,sppf,sppv,totrt,death,totact,totinj,outbreak,totrefer,totrdt,rdtpos_pf,rdtpos_pv
Angul,Khamar,2008,January,,1242,1242,137,135,,137,,,,,,,,
Angul,Kaniha,2008,January,,1378,1378,109,95,,109,,,,,,,,
Angul,Banarpal,2008,January,,867,867,77,73,,77,,,,,,,,
Angul,Godibandha,2008,January,,1140,1140,126,42,,126,,,,,,,,
Angul,Bantala,2008,January,,1422,1422,96,84,,96,,,,,,,,
Angul,Koshala,2008,January,,1576,1576,96,88,,96,,,,,,,,
Angul,Madhapur,2008,January,,1257,1257,74,67,,74,,,,,,,,
Angul,R.K.Nagar,2008,January,,832,832,111,108,,111,,,,,,,,
Angul,Khamar,2008,February,,1358,1358,114,109,,114,,,,,,,,
Angul,Kaniha,2008,February,,1550,1550,106,98,,106,,,,,,,,
Angul,Banarpal,2008,February,,850,850,88,79,,88,,,,,,,,
Angul,Godibandha,2008,February,,1218,1218,138,39,,138,,,,,,,,
Angul,Bantala,2008,February,,1660,1660,165,153,,165,,,,,,,,
Angul,Koshala,2008,February,,1740,1740,94,87,,94,,,,,,,,
Angul,Madhapur,2008,February,,1468,1468,119,108,,119,,,,,,,,
Angul,R.K.Nagar,2008,February,,954,954,137,133,,137,,,,,,,,
Angul,Khamar,2008,March,,1510,1510,137,134,,137,,,,,,,,
Angul,Kaniha,2008,March,,1531,1531,101,89,,101,,,,,,,,
Angul,Banarpal,2008,March,,1219,1219,73,72,,73,,,,,,,,
Angul,Bantala,2008,March,,2721,2721,213,205,,213,,,,,,,,
Angul,Koshala,2008,March,,1894,1894,132,129,,132,,,,,,,,
Angul,Madhapur,2008,March,,1473,1473,121,103,,121,,,,,,,,
Angul,R.K.Nagar,2008,March,,1151,1151,158,154,,158,,,,,,,,
Angul,Khamar,2008,April,,942,942,112,110,,112,,,,,,,,
Angul,Kaniha,2008,April,,1282,1282,83,72,,83,,,,,,,,
Angul,Banarpal,2008,April,,953,953,79,76,,79,,,,,,,,
Angul,Godibandha,2008,April,,1758,1758,154,78,,154,,,,,,,,
Angul,Bantala,2008,April,,2660,2660,194,187,,194,,,,,,,,
Angul,Koshala,2008,April,,1658,1658,122,114,,122,,,,,,,,
Angul,Madhapur,2008,April,,1571,1571,131,110,,131,,,,,,,,
Angul,Khamar,2008,May,,1192,1192,155,146,,155,,,,,,,,
Angul,Kaniha,2008,May,,1396,1396,95,81,,95,,,,,,,,
Angul,Banarpal,2008,May,,1063,1063,111,107,,111,,,,,,,,
Angul,Godibandha,2008,May,,1141,1141,90,50,,90,,,,,,,,
Angul,Bantala,2008,May,,1718,1718,77,70,,77,,,,,,,,
Angul,Koshala,2008,May,,1731,1731,128,120,,128,,,,,,,,
Angul,Madhapur,2008,May,,1468,1468,86,74,,86,,,,,,,,
Angul,R.K.Nagar,2008,May,,1411,1411,200,196,,200,,,,,,,,
Angul,Khamar,2008,June,,1199,1199,145,136,,145,,,,,,,,
Angul,Kaniha,2008,June,,1484,1484,115,99,,115,,,,,,,,
Angul,Banarpal,2008,June,,1277,1277,137,130,,137,,,,,,,,
Angul,Godibandha,2008,June,,1588,1588,189,91,,189,,,,,,,,
Angul,Bantala,2008,June,,2417,2417,133,125,,133,,,,,,,,
Angul,Koshala,2008,June,,2308,2308,204,196,,204,,,,,,,,
Angul,Madhapur,2008,June,,1475,1475,99,82,,99,,,,,,,,
