District,Month,Totsp,No. of RDT Performed,Slides examined,Bse
Angul,January,1005,8398,13445,21843
Balasore,January,0,,8101,8101
Bargarh,January,62,1024,6836,7860
Bhadrak,January,70,1458,7501,8959
Bolangir,January,728,,8927,8927
Boudh,January,116,948,1042,1990
Cuttack,January,58,499,7373,7872
Deogarh,January,525,3603,4891,8494
Dhenkanal,January,0,0,9956,9956
Gajpati,January,749,3535,6989,10524
Ganjam,January,643,13331,22573,35904
J.S PUR,January,10,100,6160,6260
Jajpur,January,204,2247,10477,12724
Jharsuguda,January,30,1231,2018,3249
Kalahandi,January,1639,7005,15832,22837
Kandhamal,January,1789,4439,13776,18215
Kendrapada,January,10,0,9536,9536
Keonjhar,January,1366,8220,19128,27348
Khurda,January,86,2646,7977,10623
Koraput,January,2770,6576,13349,19925
Malkangiri,January,1742,4957,8378,13335
Mayurbhanj,January,396,5414,6468,11882
Nawarangpur,January,1468,2369,9284,11653
Nayagarh,January,145,3194,5291,8485
Nuapada,January,950,4811,6243,11054
Puri,January,3,0,5309,5309
Rayagada,January,2430,8299,11284,19583
Sambalpur,January,706,2332,5961,8293
Sonepur,January,68,,3826,3826
Sundargarh,January,1338,10664,18671,29335
Angul,February,893,7529,13920,21449
Balasore,February,0,,9968,9968
Bargarh,February,69,2775,5935,8710
Bhadrak,February,19,1771,7636,9407
Bolangir,February,363,3657,10031,13688
Boudh,February,132,919,1463,2382
Cuttack,February,77,988,14738,15726
Deogarh,February,315,3951,5690,9641
Dhenkanal,February,365,4748,12416,17164
Gajpati,February,651,3498,6423,9921
Ganjam,February,604,11549,24216,35765
J.S PUR,February,12,269,6751,7020
Jajpur,February,180,2625,10206,12831
Jharsuguda,February,19,1340,2185,3525
Kalahandi,February,1958,8693,19229,27922
Kandhamal,February,2285,6396,16816,23212
Kendrapada,February,13,130,9913,10043
Keonjhar,February,1207,8182,20641,28823
Khurda,February,94,2736,8803,11539
Koraput,February,1597,4398,7069,11467
Malkangiri,February,5961,4737,9798,14535
Mayurbhanj,February,824,17790,22781,40571
Nawarangpur,February,1156,3567,10140,13707
Nayagarh,February,164,3290,5770,9060
Nuapada,February,819,5052,7099,12151
Puri,February,1,0,5876,5876
Rayagada,February,2550,8964,11858,20822
Sambalpur,February,610,3283,8313,11596
Sonepur,February,76,,4712,4712
Sundargarh,February,983,12023,21753,33776
Angul,March,224,618,2161,2779
Balasore,March,74,0,9765,9765
Bargarh,March,60,4055,8952,13007
Bhadrak,March,39,2910,6505,9415
Bolangir,March,392,1728,11337,13065
Boudh,March,127,1035,1480,2515
Cuttack,March,69,1877,15042,16919
Deogarh,March,273,2842,4827,7669
Dhenkanal,March,391,3607,11455,15062
Gajpati,March,793,3900,6829,10729
Ganjam,March,775,14122,25755,39877
J.S PUR,March,15,536,7586,8122
Jajpur,March,194,2438,9632,12070
Jharsuguda,March,28,1758,2596,4354
Kalahandi,March,2240,7864,19653,27517
Kandhamal,March,2310,6808,17582,24390
Kendrapada,March,18,140,9889,10029
Keonjhar,March,1358,11258,22849,34107
Khurda,March,119,2700,10272,12972
Koraput,March,2718,6230,11895,18125
Malkangiri,March,1937,4882,10242,15124
Mayurbhanj,March,835,16690,22969,39659
Nawarangpur,March,1714,2122,4113,6235
Nayagarh,March,223,2606,6130,8736
